country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",16-06-2026 12:00,28.685382,77.453839,OZONE,5,58,24
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",16-06-2026 12:00,28.6603346,77.3572563,PM2.5,44,339,128
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",16-06-2026 12:00,28.6603346,77.3572563,NO2,22,85,54
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",16-06-2026 12:00,28.6603346,77.3572563,NH3,7,17,10
India,Uttar_Pradesh,Ghaziabad,"Ved Vihar-Loni, Ghaziabad - UPPCB",16-06-2026 12:00,28.739153,77.273668,PM10,NA,NA,NA
India,Uttar_Pradesh,Ghaziabad,"Ved Vihar-Loni, Ghaziabad - UPPCB",16-06-2026 12:00,28.739153,77.273668,CO,24,24,24
India,Uttar_Pradesh,Ghaziabad,"Ved Vihar-Loni, Ghaziabad - UPPCB",16-06-2026 12:00,28.739153,77.273668,OZONE,10,10,10
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",16-06-2026 12:00,26.730136,83.433859,NO2,11,12,11
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",16-06-2026 12:00,28.47272,77.482,PM10,96,359,217
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",16-06-2026 12:00,28.557054,77.453663,NH3,7,16,9
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",16-06-2026 12:00,28.557054,77.453663,CO,6,68,49
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",16-06-2026 12:00,26.428282,80.327067,CO,32,36,34
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",16-06-2026 12:00,26.4703136,80.3229863,PM10,31,172,61
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",16-06-2026 12:00,26.4703136,80.3229863,NO2,40,48,44
India,Uttar_Pradesh,Khora,"Prashant Garden, Khora - UPPCB",16-06-2026 12:00,28.61119,77.34206,NH3,9,25,14
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB",16-06-2026 12:00,28.2348927,77.8683002,PM10,42,231,95
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB",16-06-2026 12:00,28.2348927,77.8683002,NO2,12,13,12
